"E_manip_small$starttime","E_manip_small$female","E_manip_small$religion","E_manip_small$age","E_manip_small$numHousehold","E_manip_small$married","E_manip_small$children","E_manip_small$childrenNum","E_manip_small$formalEdu","E_manip_small$formalEduYears","E_manip_small$job","E_manip_small$urban","covid_real","covid_immunity_self","covid_embezzle","covid_attack","covid_hotdrink","covid_trust","covid_approval","covid_takevaccine","covid_takeyes_why","I want to protect myself from having COVID-19 in the future","I want to protect my family/members of my household against having COVID-19 in the future","I want to protect my community against having COVID-19 in the future","Life won't go back to normal until most people are vaccinated","The NCDC / government recommends getting vaccines","It is free","Other_covidyes","covid_takeyes_why__99","covid_takeyes_why_12","covid_takeno_why","I would be concerned about the side effects from the vaccine","I would be concerned about getting infected with coronavirus from the vaccine","I'm not concerned about getting seriously ill from the virus","I don't think vaccines work very well","The coronavirus outbreak is not as serious as people say it is","I don't like needles","I'm allergic to vaccines","I won't have time to go get vaccinated","Religious / community leaders advising me not to take it","The virus is a hoax / does not exist","The vaccine has microchips/ tracking devices","Other_covidno","covid_takeno_why__99","covid_takeno_why_13","covid_takencdc","covid_takeprominent","vaccine_trust","vaccine_trust_1","vaccine_pay","vaccines_safe","vaccines_effective"
"11/30/2020 8:30","1","Christian",29,4,1,1,1,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 8:31","0","Muslim",31,4,1,1,2,1,14,1,1,"Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 8:45","0","Muslim",35,6,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:03","1","Muslim",27,9,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:04","1","Muslim",27,6,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:07","0","Christian",21,3,0,0,NA,1,13,1,1,"No/Disagree","No/Disagree","Yes/Agree","No/Disagree",NA,"No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:09","0","Christian",31,1,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree",NA,"No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1 3","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:14","1","Muslim",24,11,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:16","1","Christian",43,6,1,1,4,1,14,1,1,"Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:21","0","Muslim",31,7,1,1,1,1,14,1,1,"No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","Yes/Agree","Medical professionals like doctors","","No/Disagree","No/Disagree","No/Disagree"
"11/30/2020 9:24","0","Muslim",44,8,1,1,6,1,10,1,0,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:24","1","Christian",48,7,1,1,5,1,7,1,1,"Yes/Agree","No/Disagree","No/Disagree",NA,NA,"Yes/Agree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Don't know about it","Yes/Agree","Yes/Agree","Religious leaders","","No/Disagree","No/Disagree","Yes/Agree"
"11/30/2020 9:34","1","Christian",50,8,1,1,5,1,13,1,0,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","9 11","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
"11/30/2020 9:36","0","Christian",28,10,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree",NA,NA,"No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1 2 5","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree",NA,NA
"11/30/2020 9:43","0","Christian",30,10,0,0,NA,1,14,0,0,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 9:56","0","Christian",52,5,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","4","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 10:01","1","Christian",26,3,1,1,1,1,14,1,1,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 10:04","1","Christian",36,4,1,1,3,1,7,1,1,"No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree",NA,"","No/Disagree","Yes/Agree","Yes/Agree"
"11/30/2020 10:05","0","Christian",29,21,0,0,NA,1,13,0,1,"Yes/Agree",NA,"No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","No/Disagree"
"11/30/2020 10:18","1","Muslim",18,11,1,1,1,1,11,0,1,"Yes/Agree","No/Disagree",NA,NA,"No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
"11/30/2020 10:25","0","Muslim",38,5,1,1,2,1,13,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 10:32","1","Christian",27,6,0,0,NA,1,12,1,1,"No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
"11/30/2020 11:10","0","Muslim",34,6,1,1,4,1,13,1,0,"No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","No/Disagree","No/Disagree","No/Disagree"
"11/30/2020 11:17","0","Muslim",31,3,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
"11/30/2020 11:21","1","Christian",43,8,1,1,4,1,13,1,0,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 11:47","0","Muslim",41,17,1,1,13,1,10,1,0,"No/Disagree","Yes/Agree","Yes/Agree",NA,"No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","3","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Family members and friends","","No/Disagree","No/Disagree","No/Disagree"
"11/30/2020 13:08","0","Muslim",19,13,0,0,NA,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 13:21","0","Christian",34,2,1,0,NA,1,14,1,0,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 13:40","1","Christian",45,8,1,1,7,1,12,0,1,"Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/30/2020 14:02","0","Christian",30,14,1,1,1,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","11","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","Yes/Agree","No/Disagree","No/Disagree"
"11/30/2020 16:50","0","Christian",30,2,1,0,NA,1,13,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","No/Disagree","Yes/Agree"
"12/1/2020 2:29","0","Muslim",37,9,1,1,6,1,9,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 2:35","0","Christian",40,5,1,1,4,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 2:39","1","Christian",25,7,0,0,NA,1,14,1,0,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","Medical professionals like doctors","","No/Disagree","No/Disagree","No/Disagree"
"12/1/2020 3:05","0","Muslim",36,12,1,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 3:10","0","Christian",48,11,1,1,8,1,13,1,0,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 3:13","1","Christian",44,4,1,1,2,1,14,1,1,"Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 3:18","0","Muslim",31,5,1,1,3,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 3:20","0","Christian",29,1,0,0,NA,1,13,0,1,"Yes/Agree",NA,NA,NA,NA,NA,"No/Disagree",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"Yes/Agree",NA
"12/1/2020 3:37","0","Muslim",27,20,0,0,NA,1,13,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 3:45","1","Christian",28,10,0,0,NA,1,14,1,1,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2 3","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Family members and friends","","No/Disagree","Yes/Agree","Yes/Agree"
"12/1/2020 3:54","1","Christian",30,10,0,0,NA,1,14,0,1,"Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Religious leaders","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 3:56","0","Christian",38,3,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:07","0","Christian",35,6,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:10","0","Muslim",52,18,1,1,14,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:19","1","Christian",32,5,1,1,3,1,13,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:22","0","Christian",26,9,0,0,NA,1,14,0,1,"Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:41","0","Christian",34,6,0,1,1,1,13,1,0,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:43","0","Christian",27,7,0,0,NA,1,13,1,1,"Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","No/Disagree"
"12/1/2020 4:47","1","Muslim",32,4,1,1,2,1,14,1,1,"Yes/Agree","Yes/Agree",NA,"No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1 2 4","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","Religious leaders","",NA,"Yes/Agree","Yes/Agree"
"12/1/2020 4:49","0","Muslim",45,40,1,1,10,0,NA,1,0,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","It's from Allah","No/Disagree","Yes/Agree","Religious leaders","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:50","0","Muslim",52,7,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree",NA,"Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"12/1/2020 4:57","1","Christian",41,6,1,1,5,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","No/Disagree",NA
"12/1/2020 5:12","0","Christian",42,7,1,1,3,1,7,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
